"german";"lm01";"lm19";"lm21";"lm14";"lm36";"la01";"id02";"id01";"mi05";"mi06";"mi07";"mi08";"mi09";"mi10";"mi11";"sex";"age";"agec";"dg10";"lp03";"lp04";"lp05";"lp06";"vm08";"vm09";"vm10";"vm11";"vm12";"vm14";"vm15";"st01";"cf03";"im17";"im18";"im19";"im20";"im21";"iw04";"pd11";"pi01";"pa02a";"pa01";"ca01";"ca02";"ca03";"ca04";"ca05";"ca06";"ca07";"ca08";"ca09";"ca10";"ca11";"ca25";"ca26";"ca27";"ca28";"ca29";"ca30";"ca15";"ca16";"ca17";"ca18";"ca34";"ca31";"cs01";"cs02";"cs03";"cs04";"cs05";"cs06";"cs08";"cs09";"cp01";"cp02";"cp03";"cp04";"ca22";"ca23";"ca32";"ca33";"educ";"de06";"de07";"de08";"de09";"de10";"de12";"de11";"de13";"de14";"de15";"de16";"de05";"isced97";"iscd11";"work";"eseg";"hs01";"lp09";"lp10";"lp11";"lp12";"rd01";"rp01";"mstat";"df44";"dh04";"dh09";"aq01";"xh03";"gs01";"pn12";"pn16";"sm03";"ls01";"gkpol"
1;6;1;2;7;2;3;4;3;2;2;3;2;1;2;3;1;79;5;"Alte BL";2;2;2;2;1;2;1;3;3;3;3;1;2;3;4;1;2;1;2;1;1;2;7;1;1;2;4;1;3;2;1;1;3;2;2;2;4;2;4;2;1;1;2;1;1;1;1;6;1;1;2;1;2;2;1;2;4;4;2;1;1;4;5;0;0;0;0;0;0;0;0;0;1;0;0;6;8;4;82;2;4;4;4;4;3;5;1;1;2;2;7;1;2;2;2;2;8;3
1;7;1;1;0;1;4;2;2;1;2;3;2;2;3;2;2;50;3;"Alte BL";1;1;1;1;1;2;1;3;3;3;3;3;2;1;2;1;2;4;1;2;1;1;5;1;3;3;4;1;2;2;1;1;1;1;1;1;5;2;5;5;2;2;2;1;1;1;1;3;2;1;1;1;2;2;5;5;4;5;1;1;1;5;5;0;1;0;0;1;1;1;0;0;1;0;0;5;6;4;87;4;1;2;3;2;3;1;1;2;4;3;4;1;4;3;3;2;5;3
1;5;1;1;0.5;2;3;3;4;1;1;1;1;1;1;1;2;25;1;"Alte BL";1;2;1;1;1;3;1;3;3;3;3;1;3;1;2;3;3;4;1;2;1;2;6;2;1;2;3;3;3;3;2;2;3;1;2;1;3;2;3;3;1;1;2;1;1;1;5;1;3;3;1;2;2;1;1;2;3;2;2;1;1;5;4;0;0;0;0;0;0;0;0;0;1;0;0;5;6;1;54;1;3;2;3;3;3;4;5;1;2;2;4;1;2;3;2;2;9;3
1;7;1;1;0;2;3;2;2;1;1;1;1;1;2;1;1;65;4;"Alte BL";1;2;1;2;2;2;1;2;2;2;2;1;3;2;1;4;4;4;1;2;1;2;2;1;1;4;4;3;3;2;1;1;1;1;1;1;4;2;3;4;1;2;2;1;1;1;4;3;1;1;2;2;2;2;3;2;2;2;3;2;2;4;2;0;0;1;0;0;0;0;0;0;0;0;0;3;3;4;86;3;3;3;3;3;6;5;1;1;2;2;4;2;3;2;3;2;7;5
1;7;1;1;7;1;3;3;1;2;1;2;1;1;1;1;1;56;3;"Alte BL";1;2;1;1;1;2;1;2;2;2;2;3;3;2;3;4;4;4;2;1;1;3;5;1;1;4;4;1;1;1;1;1;1;1;1;1;4;3;5;3;1;2;2;1;1;1;1;2;2;1;2;2;2;2;3;1;4;4;1;1;2;4;3;0;0;1;0;0;0;0;0;0;0;0;0;3;3;1;51;3;2;3;3;2;3;6;1;1;5;4;7;1;2;3;2;2;8;3
1;6;1;1;0.5;2;3;2;1;2;2;3;1;2;3;3;1;52;3;"Neue BL";1;1;1;1;1;1;1;3;3;1;1;1;4;2;4;2;4;4;1;1;1;2;8;1;1;4;4;3;1;1;1;1;1;2;1;1;3;3;5;5;1;2;2;1;2;1;1;2;1;1;2;2;2;2;4;3;4;2;2;1;4;5;3;0;0;0;0;0;0;0;1;0;0;0;0;5;5;1;31;4;3;3;3;3;6;4;1;1;2;2;7;1;3;2;1;2;9;4
1;6;1;2;2;2;3;3;2;2;2;2;2;1;2;3;1;68;4;"Alte BL";1;2;1;1;1;2;1;2;2;2;2;3;2;2;3;3;4;4;1;2;1;1;4;1;1;3;3;1;2;1;1;1;1;1;1;1;5;2;4;5;1;2;2;1;2;1;3;3;1;1;1;2;2;2;3;2;2;2;2;2;4;2;3;0;0;0;0;0;0;0;1;0;0;0;0;5;5;4;81;3;2;3;3;3;3;3;5;2;1;1;7;1;4;2;2;2;8;2
1;7;1;2;0.5;1;1;4;4;2;2;2;1;1;2;2;2;55;3;"Alte BL";2;2;2;2;2;2;1;2;2;2;2;1;3;3;2;4;3;3;1;1;1;2;3;1;1;4;4;3;3;3;1;1;1;1;1;1;3;2;5;3;1;2;2;1;1;1;3;2;1;1;1;2;2;2;3;2;4;2;2;2;4;5;5;0;0;0;0;0;0;0;0;0;1;0;0;6;8;1;25;1;3;3;3;3;6;6;5;2;1;1;4;1;1;1;1;2;9;6
1;4;1;2;0.5;2;3;3;4;1;1;2;1;1;2;1;1;31;2;"Neue BL";2;2;2;2;2;2;1;2;2;2;2;1;4;1;2;4;3;4;1;2;1;1;1;1;1;4;3;2;3;2;1;2;2;1;1;2;5;2;4;4;1;2;2;1;1;1;3;1;1;1;1;2;2;2;1;2;3;2;2;1;5;1;5;0;0;0;0;0;0;1;0;0;0;0;0;5;5;1;1;2;4;4;2;4;6;6;5;2;1;1;3;1;2;2;2;2;9;6
1;7;1;2;6;1;1;3;3;2;2;2;1;1;2;1;2;67;4;"Alte BL";1;2;2;2;2;2;1;3;2;3;3;3;1;1;2;3;2;3;1;1;1;3;5;1;1;2;3;2;2;2;1;1;1;1;1;1;3;2;4;5;1;1;2;1;1;1;3;3;1;1;2;2;2;2;4;5;5;5;2;2;5;4;3;0;0;0;1;0;0;0;0;0;0;0;0;3;3;4;85;2;3;4;4;3;3;3;1;1;2;2;4;2;1;1;2;2;8;6
1;7;1;2;7;1;3;5;3;2;2;2;1;1;1;1;2;83;5;"Alte BL";2;2;2;2;1;2;1;2;2;2;2;1;3;3;3;2;2;2;2;1;1;2;5;1;1;3;4;2;2;2;1;1;2;1;1;1;3;2;3;4;1;2;2;1;2;1;1;1;1;3;2;1;2;2;2;2;3;2;1;1;4;5;2;0;0;1;0;0;0;0;0;0;0;0;0;3;3;4;99;2;3;4;4;3;3;4;1;1;2;2;7;2;1;2;2;2;9;6
1;3;1;2;0;1;4;3;3;1;1;2;1;1;2;1;1;22;1;"Neue BL";2;2;2;2;2;2;1;2;2;2;2;3;3;3;3;3;3;2;1;1;1;1;6;1;1;3;3;3;3;2;1;1;2;1;1;2;4;2;3;5;1;2;2;1;1;1;3;2;2;1;1;2;2;1;2;2;3;2;2;1;4;1;5;0;0;0;0;0;0;0;0;0;0;0;1;3;3;3;91;1;3;3;3;3;6;5;5;1;2;2;4;1;1;2;2;2;9;6
1;7;1;2;0;2;1;4;4;1;1;2;2;1;2;2;1;38;2;"Alte BL";2;1;1;2;1;2;1;2;2;2;2;3;3;2;2;3;3;3;2;1;1;1;4;1;1;4;4;2;2;2;1;1;1;1;2;2;4;2;4;4;1;2;2;1;1;1;3;1;3;1;2;2;2;2;1;2;2;2;2;2;2;4;5;0;0;0;0;0;0;0;0;0;1;0;0;5;7;1;21;1;3;3;3;3;6;6;5;1;4;2;7;2;4;2;2;2;7;3
1;7;1;2;6;2;4;2;2;1;2;2;2;1;2;2;1;69;4;"Neue BL";2;2;1;2;2;3;2;2;2;2;2;1;2;2;2;3;3;3;2;3;1;2;5;1;1;2;2;2;2;1;1;1;1;1;1;1;4;3;4;4;1;2;2;1;1;1;1;1;1;1;2;2;2;2;5;5;5;5;2;1;2;1;5;0;0;0;0;0;0;0;0;1;0;0;0;5;7;4;84;3;3;4;4;4;6;6;1;1;2;2;7;2;3;2;2;2;6;2
1;7;2;1;0;1;4;3;3;2;1;2;2;2;2;2;1;48;3;"Alte BL";1;2;2;1;1;2;2;3;2;2;2;3;2;3;3;3;3;3;2;1;1;3;6;1;1;1;3;1;2;1;1;1;1;1;1;2;3;2;4;4;1;2;2;1;2;2;3;2;2;1;2;2;2;2;3;3;2;4;2;1;1;4;4;0;0;0;0;0;0;0;1;0;0;0;0;5;5;1;13;2;3;3;3;3;1;5;1;1;4;2;7;2;2;2;2;2;8;4
1;7;1;1;0;2;1;2;2;2;2;2;2;2;2;2;2;49;3;"Neue BL";2;2;1;1;1;3;1;3;3;3;3;1;1;2;2;4;4;3;1;2;1;3;6;2;1;2;3;2;3;2;1;1;3;1;1;1;4;2;5;4;1;1;2;1;1;1;2;1;2;1;1;2;2;2;2;2;3;3;1;1;2;5;4;0;0;0;0;0;0;1;0;0;0;0;0;5;5;1;32;2;3;3;3;3;6;5;1;1;3;3;7;2;4;2;2;2;9;2
1;7;1;1;1;1;4;3;2;2;2;2;3;3;3;2;1;38;2;"Neue BL";1;2;1;1;1;2;1;3;3;3;3;3;2;3;4;3;2;2;2;1;1;2;7;2;1;2;4;3;3;3;1;2;2;3;2;2;2;2;3;3;1;2;2;1;2;1;4;3;3;1;2;1;2;2;2;3;2;4;2;2;2;5;3;0;0;0;1;0;0;0;0;0;0;0;0;3;3;1;71;2;3;3;3;4;6;6;1;1;3;2;4;1;2;2;2;2;8;6
1;7;1;1;0.5;3;2;3;2;2;1;2;2;2;2;1;1;50;3;"Neue BL";1;2;1;1;2;2;1;2;2;2;2;2;4;3;4;1;2;3;1;2;1;2;3;1;1;3;4;2;3;2;1;1;3;1;1;1;3;2;5;3;1;2;2;1;1;1;1;3;1;1;2;2;2;2;1;2;3;3;2;1;4;1;3;0;0;0;1;0;1;0;0;0;0;0;0;3;3;2;33;3;3;2;3;2;6;6;1;1;3;2;7;2;4;2;4;2;2;3
1;7;1;1;0;3;5;2;1;2;2;2;2;2;2;2;1;57;3;"Neue BL";1;2;1;2;2;2;1;3;3;2;2;1;1;2;3;3;3;3;1;3;2;3;7;1;3;3;3;3;3;2;1;2;2;2;2;2;3;2;3;3;2;2;2;1;2;2;3;1;1;1;2;2;2;2;5;4;3;4;1;1;2;5;3;0;0;0;0;0;1;0;0;0;0;0;0;3;3;1;13;3;3;3;3;3;6;6;1;1;3;2;7;2;4;2;1;2;7;4
1;6;1;1;0;2;4;3;1;2;2;3;1;1;2;2;2;42;2;"Neue BL";1;1;1;1;2;2;2;3;3;2;2;2;1;4;3;2;3;4;1;2;1;3;5;1;1;2;3;3;2;3;1;1;1;2;1;1;4;2;4;3;1;2;2;2;2;1;1;1;1;1;2;2;2;2;3;2;2;4;1;1;2;4;3;0;0;0;0;0;1;0;0;0;0;0;0;3;3;1;24;3;3;4;4;4;6;5;1;2;4;3;7;1;3;1;2;2;7;4
1;6;1;1;6;2;4;3;2;2;1;2;2;2;2;2;1;68;4;"Alte BL";1;2;1;1;1;3;1;3;3;3;3;3;2;2;1;3;2;2;1;1;1;3;6;1;1;1;4;2;1;1;1;1;1;2;1;1;2;2;4;3;1;1;2;1;2;2;1;2;1;3;2;2;2;1;3;2;5;2;1;1;4;5;3;0;0;0;1;0;0;0;0;0;0;0;0;3;3;4;84;2;2;3;3;2;6;5;1;1;2;2;7;2;2;2;2;2;8;6
1;7;1;2;6;2;3;3;3;2;2;2;2;2;2;2;2;77;5;"Alte BL";2;2;1;2;2;3;2;3;3;3;3;3;2;1;3;1;2;2;1;1;1;3;5;1;1;2;1;2;1;1;1;1;1;1;1;1;3;3;5;5;1;1;1;1;1;1;1;1;1;1;2;2;2;2;5;2;5;3;1;2;1;5;2;0;0;0;1;0;0;0;0;0;0;0;0;3;3;4;85;2;3;3;3;3;3;1;3;1;1;1;7;1;3;1;1;2;10;4
1;7;1;1;5;1;4;2;1;2;2;3;2;2;2;3;2;56;3;"Alte BL";1;1;1;2;1;2;1;3;3;3;3;2;2;2;2;3;3;4;1;2;2;3;5;1;1;1;3;2;3;1;1;1;2;2;1;1;5;4;5;5;1;2;2;1;1;1;1;3;1;1;2;2;2;2;4;4;4;4;2;1;2;4;2;0;0;0;1;0;1;0;0;0;0;0;0;3;3;2;71;2;3;3;3;3;3;5;1;1;2;2;7;2;5;2;2;2;9;3
1;7;1;2;6;1;1;3;3;2;1;2;2;1;1;1;2;58;3;"Alte BL";1;2;2;1;1;2;1;2;2;2;2;1;3;3;1;1;2;1;2;1;1;1;8;1;1;3;4;2;1;1;1;1;1;1;1;1;5;3;5;3;1;2;2;1;1;1;2;2;1;1;2;2;2;1;1;1;1;2;2;1;5;1;3;0;0;0;1;0;0;0;0;0;0;0;0;3;3;2;33;1;4;4;3;3;3;4;1;1;2;2;7;2;1;1;2;2;10;6
1;4;1;2;6;2;4;2;3;1;1;2;1;1;2;1;1;59;3;"Alte BL";1;2;1;2;2;3;2;3;3;3;3;3;3;2;3;3;2;2;2;2;2;3;6;2;2;2;3;2;2;2;1;1;2;2;1;1;3;2;4;3;2;1;2;1;1;1;1;3;1;1;2;2;2;2;1;3;4;2;2;1;1;4;2;0;0;1;0;0;0;0;0;0;0;0;0;3;3;1;64;2;3;3;3;3;3;5;1;1;2;2;7;2;4;2;2;2;9;3
1;7;1;1;6;2;2;2;3;2;2;2;2;2;2;2;2;51;3;"Alte BL";1;2;1;1;1;2;1;3;3;3;3;3;1;4;4;3;3;3;1;1;1;4;7;1;2;1;3;2;3;2;1;1;1;2;1;1;4;2;4;3;2;1;2;1;2;1;1;3;1;1;2;2;2;2;5;4;5;3;1;1;1;5;3;0;0;0;1;0;0;0;0;0;0;0;0;3;3;2;14;3;3;4;4;3;1;5;1;1;2;2;7;1;3;2;2;2;8;3
1;7;1;1;0;2;4;3;3;2;2;3;1;1;2;2;1;59;3;"Alte BL";2;1;1;1;1;2;2;3;3;3;2;3;1;2;4;3;2;2;2;1;1;2;6;1;1;2;4;1;1;1;1;1;1;2;1;1;3;3;5;3;1;2;2;1;1;1;1;2;1;1;2;2;2;2;3;3;4;4;1;1;4;1;2;0;1;0;0;0;0;0;0;0;0;0;0;3;3;4;86;3;3;3;4;3;6;6;1;2;2;2;7;2;4;1;1;2;8;1
1;7;2;2;0;2;5;3;2;2;2;2;2;2;2;2;2;36;2;"Neue BL";2;1;1;1;1;2;1;3;3;3;3;2;2;2;2;3;2;3;1;2;2;4;3;1;1;2;3;3;3;1;2;1;2;1;1;1;3;2;4;4;1;1;2;1;1;1;1;1;1;1;2;2;2;2;4;4;5;4;1;1;2;4;3;0;0;0;0;0;1;0;0;0;0;0;0;3;3;2;51;3;3;4;4;4;3;5;6;1;2;1;1;2;4;2;2;2;5;4
1;7;2;1;0;2;5;2;3;1;1;1;1;1;1;1;2;25;1;"Neue BL";1;1;1;2;1;1;1;1;1;1;1;3;2;2;2;3;3;4;1;2;2;3;2;1;1;4;3;3;3;3;1;1;2;1;2;2;4;2;4;3;1;2;2;1;1;1;2;1;1;1;2;2;2;2;2;3;4;4;2;2;1;4;5;0;0;0;0;0;0;0;0;0;0;0;1;3;3;4;99;2;2;3;3;3;6;6;5;2;2;2;4;1;1;2;2;2;2;6
1;4;1;1;7;2;5;3;3;2;2;2;1;1;1;1;1;46;3;"Neue BL";2;2;1;2;2;2;2;3;2;2;2;2;1;4;4;3;3;3;1;1;2;3;5;1;1;2;3;2;2;2;1;1;2;1;1;1;3;2;5;3;2;2;2;2;2;2;3;4;3;1;2;1;2;2;4;2;2;4;1;1;4;5;4;0;0;0;0;0;1;0;0;0;0;0;0;4;4;1;33;2;2;3;3;2;6;5;1;2;4;2;7;2;5;2;2;2;8;2
